CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
5.0119E+12,FMC9019,"MAQUINA COSER ELECT. CONTELA,HILO Y LUZ MED.",Mar-Plast,0,,0,0,0,0,
5.01208E+12,RSK0821,SKATE CLASICO ALUMINIO PVC,Mar-Plast,0,,0,0,0,0,
5.01289E+12,FMC8889,MAQUINA DE COSER INFANTIL MANUAL. ENCAJA VISORA 20CM,Mar-Plast,0,,0,0,0,0,
5.0129E+12,NIM8997,ORGANO INFANTIL CON MICROFONO 32 TECLAS CON FUNCIONES,Mar-Plast,0,,0,0,0,0,
5.01302E+12,RRO0202,ROLLER MEDIANOS EXTENSIBLES DELARGO 34 ALTO 37,Mar-Plast,0,,0,0,0,0,
5.01302E+12,RRO0203,ROLLER GR EXTENSIBLES DELARGO 38 ALTO 41,Mar-Plast,0,,0,0,0,0,
5.01302E+12,RRO0204,SET ROLLERS MED EXTENSIBLES NIÑO/A CASCO + PROTECTECCION,Mar-Plast,0,,0,0,0,0,
5.01302E+12,RRO0205,SET ROLLERS GR EXTENSIBLES NIÑO/A CASCO + PROTECCION,Mar-Plast,0,,0,0,0,0,
5.01364E+12,HES6406,ESPADA LUMINOSA CON SONIDO A PILAS,Mar-Plast,0,,0,0,0,0,
5.01364E+12,HMO6424,MOTO DE CARRERA CROSS A FRICCION,Mar-Plast,0,,0,0,0,0,
5.01364E+12,FPI6435,PIZARRA MAGNETICA CON ACC.,Mar-Plast,0,,0,0,0,0,
5.01389E+12,NCN8877,BOLITAS TRANSPARENTES EN RED X 50 UNID. ( 16 MM ),Mar-Plast,0,,0,0,0,0,
5.01389E+12,NCN8878,BOLITAS BLANCAS EN RED X 50 UNID. ( 16 MM ),Mar-Plast,0,,0,0,0,0,
5.01389E+12,NCN8879,BOLITAS BLANCAS + 1 BOLON EN RED X 50 UNID. ( 16 MM ),Mar-Plast,0,,0,0,0,0,
5.01389E+12,NCN8880,BOLITAS DE COLORES BRILLANTES EN RED X 50 UNID. ( 16 MM ),Mar-Plast,0,,0,0,0,0,
5.01389E+12,NCN8881,BOLITAS AZULES EN RED X 50 UNID. ( 16 MM ),Mar-Plast,0,,0,0,0,0,
